Id,Price
4567,282296.27298990457
5925,171231.45985201778
960,287893.49614155205
3848,145797.32589006895
746,273771.724581023
868,211310.97350573612
672,149008.71364440199
2471,289962.97655618005
4510,160499.77495109182
8354,200663.5390843691
6393,405164.4188179895
13270,226436.59280274005
5250,160854.4086289414
16751,183097.66210550643
11404,260629.4114269499
10588,152424.25299958666
14925,215076.3474527192
6791,168160.57287601643
16097,157975.37017601955
16428,229564.9899139677
6945,293219.71616553934
3190,389640.92967158864
15709,421426.52253868134
13155,187383.8931300318
7675,125272.69944011042
14686,177727.785739577
609,346363.2650963355
11155,240409.57623971402
10869,166771.3661625673
15742,74706.36517567151
9245,102815.09508988584
3340,201692.21690877076
2359,556750.2951994174
8070,201559.74042468614
13707,157647.7645817036
16079,180980.90286436878
15937,203878.97256673782
14090,265357.2799964612
9008,103891.14307130197
16384,293866.06318908365
11657,141605.48115080842
13151,356053.353456864
8990,298712.0285985271
11857,156342.66593068134
1565,219225.87782471912
8174,223635.96795875914
9247,450531.44181560597
10478,165120.7475543828
15509,213692.10654645713
8306,299004.4929803264
6642,403556.23651849106
7472,516175.81152596057
15989,172655.72706516949
13682,240924.73420681382
163,192607.6962104558
7076,198983.67354611607
7478,169870.324615958
3029,232053.13644633756
1814,164039.3401836915
10057,141913.91258469317
15100,269372.61793209164
12694,121545.78557897313
6291,111544.73173898368
12603,123236.48332199674
3218,288321.5100528005
13456,201140.1747419665
10170,190956.39677959203
4530,399313.34863427444
13329,416018.12711492064
4820,236933.23605624275
10896,123653.82537726988
13416,137262.4507769708
2701,142610.5494216053
11265,195610.8879914896
9189,82739.14504830504
1858,199803.97296302547
14536,261396.43777533845
6199,208456.85081906014
14730,282373.3580449342
7510,190891.41527452538
15505,172668.7284205845
7446,154806.86457508118
14016,182219.36868594718
14113,273474.6833569287
8721,179733.1744964727
6193,510135.4991179872
5717,193702.13437864487
5427,153255.26858902103
9520,300781.81463615503
6869,101922.48567591282
1658,243767.5726483306
6639,182380.37809773412
6283,152060.412888412
6257,162012.5999089895
15235,109737.00009172672
902,113911.20455940753
8932,161493.44296868655
16469,167585.23062230763
2825,258728.4845310219
6450,148053.68059441654
11366,235632.6036177394
3801,205277.68393538703
11385,184555.601065988
1079,213336.316418767
3202,252212.09865601678
676,156050.92899556624
6185,437430.5388831118
7730,188382.1302669816
2573,149535.4953581466
10978,182272.7220788996
10962,261967.2831066497
8870,172330.9514910764
8496,224824.77400831744
5517,179406.87436100843
927,325481.4429759408
13675,171780.78855844087
1499,246688.64061558215
15536,178092.24448448364
8602,278671.20746847714
12137,180055.74364124492
9865,180575.94774578584
16353,228677.44640171342
15908,300804.5215648064
3944,348788.62285201054
10359,370471.8565076557
15158,198239.07294963318
3259,250049.07614969637
7220,327552.92356413364
13843,196243.558730142
16736,178572.05843684988
702,69592.13157040755
16401,216107.67184601497
12134,179548.4569150391
6918,190985.33835211635
11792,163724.0414546266
3798,171118.21101041182
10395,222418.04227753522
11099,222032.69263667433
7090,285595.1766343113
11260,149181.35370556507
9647,142937.65546476972
2903,186371.1525959129
2071,280294.84305525926
8604,269300.6542492647
9346,444518.18900085514
3945,171694.58788684866
